DayNum,Day,Backend Focus,Activities,Focus,MergedTopics,DetailedTasks,TimeBlocks
1,Day 1,Laravel Eloquent Advanced,"Eager loading, scopes, subqueries; React Hooks refresh; EN: self-intro",,Laravel Eloquent Advanced,"BE 2–3h: implement 1 feature or refactor; 2 LeetCode (E/M); write unit tests; summarize learnings. | FE 2h: extend a React component/page; add tests; check a11y; document decisions. | English 1–1.5h: shadow 15‑20 min; mock interview Q&A; record & review. | Deep dive: Eloquent advanced (with, loadMissing), subquery select, scopes, when(); pros/cons; notes on N+1.",08:00‑10:30 BE | 10:45‑12:45 FE | 14:00‑15:30 English | 16:00‑16:30 Review & notes
2,Day 2,Pagination & Streaming,"chunkById, keyset; CSV export stream; EN: describe project",,Pagination & Streaming,BE 2–3h: implement 1 feature or refactor; 2 LeetCode (E/M); write unit tests; summarize learnings. | FE 2h: extend a React component/page; add tests; check a11y; document decisions. | English 1–1.5h: shadow 15‑20 min; mock interview Q&A; record & review. | General: revise yesterday’s notes; list 3 gaps; plan tomorrow’s spike.,08:00‑10:30 BE | 10:45‑12:45 FE | 14:00‑15:30 English | 16:00‑16:30 Review & notes
3,Day 3,MySQL Indexing & EXPLAIN,"Composite/covering index, histograms; FE: TanStack Query; EN: Q&A 1",,MySQL Indexing & EXPLAIN,"BE 2–3h: implement 1 feature or refactor; 2 LeetCode (E/M); write unit tests; summarize learnings. | FE 2h: extend a React component/page; add tests; check a11y; document decisions. | English 1–1.5h: shadow 15‑20 min; mock interview Q&A; record & review. | Deep dive: Eloquent advanced (with, loadMissing), subquery select, scopes, when(); pros/cons; notes on N+1.",08:00‑10:30 BE | 10:45‑12:45 FE | 14:00‑15:30 English | 16:00‑16:30 Review & notes
4,Day 4,Transactions & Deadlocks,Retry with backoff; FE: debounce/AbortController; EN: Q&A 2,,Transactions & Deadlocks,BE 2–3h: implement 1 feature or refactor; 2 LeetCode (E/M); write unit tests; summarize learnings. | FE 2h: extend a React component/page; add tests; check a11y; document decisions. | English 1–1.5h: shadow 15‑20 min; mock interview Q&A; record & review. | General: revise yesterday’s notes; list 3 gaps; plan tomorrow’s spike.,08:00‑10:30 BE | 10:45‑12:45 FE | 14:00‑15:30 English | 16:00‑16:30 Review & notes
5,Day 5,Caching & Redis,"Cache-aside, tags; FE: virtualization; EN: STAR story 1",,Caching & Redis,"BE 2–3h: implement 1 feature or refactor; 2 LeetCode (E/M); write unit tests; summarize learnings. | FE 2h: extend a React component/page; add tests; check a11y; document decisions. | English 1–1.5h: shadow 15‑20 min; mock interview Q&A; record & review. | Queues/Cache: jobs, retries, backoff, RateLimiter; measure throughput; log timings and memory.",08:00‑10:30 BE | 10:45‑12:45 FE | 14:00‑15:30 English | 16:00‑16:30 Review & notes
6,Day 6,Queues & SQS,"Visibility timeout, DLQ; FE: code-splitting; EN: STAR story 2",,Queues & SQS,"BE 2–3h: implement 1 feature or refactor; 2 LeetCode (E/M); write unit tests; summarize learnings. | FE 2h: extend a React component/page; add tests; check a11y; document decisions. | English 1–1.5h: shadow 15‑20 min; mock interview Q&A; record & review. | Queues/Cache: jobs, retries, backoff, RateLimiter; measure throughput; log timings and memory. | DevOps: containerize sample app; healthcheck; CI job; readme with run/deploy steps.",08:00‑10:30 BE | 10:45‑12:45 FE | 14:00‑15:30 English | 16:00‑16:30 Review & notes
7,Day 7,Security & Auth,"Sanctum/JWT, CSRF/CORS; FE: form/a11y; EN: mock HR 1",,Security & Auth,"BE 2–3h: implement 1 feature or refactor; 2 LeetCode (E/M); write unit tests; summarize learnings. | FE 2h: extend a React component/page; add tests; check a11y; document decisions. | English 1–1.5h: shadow 15‑20 min; mock interview Q&A; record & review. | API: build/secure an endpoint (auth, validation, rate limit), write integration tests.",08:00‑10:30 BE | 10:45‑12:45 FE | 14:00‑15:30 English | 16:00‑16:30 Review & notes
8,Day 8,System Design 1,Import pipeline 10M rows; FE: error boundaries; EN: mock tech 1,,System Design 1,BE 2–3h: implement 1 feature or refactor; 2 LeetCode (E/M); write unit tests; summarize learnings. | FE 2h: extend a React component/page; add tests; check a11y; document decisions. | English 1–1.5h: shadow 15‑20 min; mock interview Q&A; record & review. | General: revise yesterday’s notes; list 3 gaps; plan tomorrow’s spike.,08:00‑10:30 BE | 10:45‑12:45 FE | 14:00‑15:30 English | 16:00‑16:30 Review & notes
9,Day 9,System Design 2,Webhook verify+replay; FE: RSC overview; EN: mock tech 2,,System Design 2,BE 2–3h: implement 1 feature or refactor; 2 LeetCode (E/M); write unit tests; summarize learnings. | FE 2h: extend a React component/page; add tests; check a11y; document decisions. | English 1–1.5h: shadow 15‑20 min; mock interview Q&A; record & review. | General: revise yesterday’s notes; list 3 gaps; plan tomorrow’s spike.,08:00‑10:30 BE | 10:45‑12:45 FE | 14:00‑15:30 English | 16:00‑16:30 Review & notes
10,Day 10,Observability,Logs/metrics/traces; FE: web-vitals; EN: metrics language,,Observability,BE 2–3h: implement 1 feature or refactor; 2 LeetCode (E/M); write unit tests; summarize learnings. | FE 2h: extend a React component/page; add tests; check a11y; document decisions. | English 1–1.5h: shadow 15‑20 min; mock interview Q&A; record & review. | General: revise yesterday’s notes; list 3 gaps; plan tomorrow’s spike.,08:00‑10:30 BE | 10:45‑12:45 FE | 14:00‑15:30 English | 16:00‑16:30 Review & notes
11,Day 11,Performance Lab,Profile queries; FE: optimize renders; EN: summarize solution,,Performance Lab,BE 2–3h: implement 1 feature or refactor; 2 LeetCode (E/M); write unit tests; summarize learnings. | FE 2h: extend a React component/page; add tests; check a11y; document decisions. | English 1–1.5h: shadow 15‑20 min; mock interview Q&A; record & review. | General: revise yesterday’s notes; list 3 gaps; plan tomorrow’s spike.,08:00‑10:30 BE | 10:45‑12:45 FE | 14:00‑15:30 English | 16:00‑16:30 Review & notes
12,Day 12,Integration,Mini fullstack app (auth+CRUD+queue); EN: dry run,,Integration,BE 2–3h: implement 1 feature or refactor; 2 LeetCode (E/M); write unit tests; summarize learnings. | FE 2h: extend a React component/page; add tests; check a11y; document decisions. | English 1–1.5h: shadow 15‑20 min; mock interview Q&A; record & review. | Testing: write unit + integration tests; measure coverage; fix 1 flaky test.,08:00‑10:30 BE | 10:45‑12:45 FE | 14:00‑15:30 English | 16:00‑16:30 Review & notes
13,Day 13,Coding Test,LeetCode SQL+Array; FE: component task; EN: interview pacing,,Coding Test,BE 2–3h: implement 1 feature or refactor; 2 LeetCode (E/M); write unit tests; summarize learnings. | FE 2h: extend a React component/page; add tests; check a11y; document decisions. | English 1–1.5h: shadow 15‑20 min; mock interview Q&A; record & review. | General: revise yesterday’s notes; list 3 gaps; plan tomorrow’s spike.,08:00‑10:30 BE | 10:45‑12:45 FE | 14:00‑15:30 English | 16:00‑16:30 Review & notes
14,Day 14,Full Review,Flashcards BE/FE; EN: review all,,Full Review,BE 2–3h: implement 1 feature or refactor; 2 LeetCode (E/M); write unit tests; summarize learnings. | FE 2h: extend a React component/page; add tests; check a11y; document decisions. | English 1–1.5h: shadow 15‑20 min; mock interview Q&A; record & review. | General: revise yesterday’s notes; list 3 gaps; plan tomorrow’s spike.,08:00‑10:30 BE | 10:45‑12:45 FE | 14:00‑15:30 English | 16:00‑16:30 Review & notes
15,Day 15,Rest & Polish,Light review; prepare questions; EN: confidence drills,,Rest & Polish,"BE 2–3h: implement 1 feature or refactor; 2 LeetCode (E/M); write unit tests; summarize learnings. | FE 2h: extend a React component/page; add tests; check a11y; document decisions. | English 1–1.5h: shadow 15‑20 min; mock interview Q&A; record & review. | API: build/secure an endpoint (auth, validation, rate limit), write integration tests.",08:00‑10:30 BE | 10:45‑12:45 FE | 14:00‑15:30 English | 16:00‑16:30 Review & notes
16,Day 16,,Refactor a service with Strategy; add caching Decorator; contract tests for Adapter,Strategy/Decorator/Adapter,Strategy/Decorator/Adapter,BE 2–3h: implement 1 feature or refactor; 2 LeetCode (E/M); write unit tests; summarize learnings. | FE 2h: extend a React component/page; add tests; check a11y; document decisions. | English 1–1.5h: shadow 15‑20 min; mock interview Q&A; record & review. | Design patterns: Strategy/Factory/Adapter/Decorator/Repository/CQRS; code snippet + trade‑offs + pitfalls.,08:00‑10:30 BE | 10:45‑12:45 FE | 14:00‑15:30 English | 16:00‑16:30 Review & notes
17,Day 17,,Validation pipeline; structured logs with trace_id; fallback paths,Chain of Responsibility,Chain of Responsibility,BE 2–3h: implement 1 feature or refactor; 2 LeetCode (E/M); write unit tests; summarize learnings. | FE 2h: extend a React component/page; add tests; check a11y; document decisions. | English 1–1.5h: shadow 15‑20 min; mock interview Q&A; record & review. | General: revise yesterday’s notes; list 3 gaps; plan tomorrow’s spike.,08:00‑10:30 BE | 10:45‑12:45 FE | 14:00‑15:30 English | 16:00‑16:30 Review & notes
18,Day 18,,Implement breaker; jittered retries; failure injection & metrics,Circuit Breaker & Retry,Circuit Breaker & Retry,BE 2–3h: implement 1 feature or refactor; 2 LeetCode (E/M); write unit tests; summarize learnings. | FE 2h: extend a React component/page; add tests; check a11y; document decisions. | English 1–1.5h: shadow 15‑20 min; mock interview Q&A; record & review. | General: revise yesterday’s notes; list 3 gaps; plan tomorrow’s spike.,08:00‑10:30 BE | 10:45‑12:45 FE | 14:00‑15:30 English | 16:00‑16:30 Review & notes
19,Day 19,,Tx + outbox table; publisher worker; idempotent publish; clean-up job,Outbox,Outbox,BE 2–3h: implement 1 feature or refactor; 2 LeetCode (E/M); write unit tests; summarize learnings. | FE 2h: extend a React component/page; add tests; check a11y; document decisions. | English 1–1.5h: shadow 15‑20 min; mock interview Q&A; record & review. | General: revise yesterday’s notes; list 3 gaps; plan tomorrow’s spike.,08:00‑10:30 BE | 10:45‑12:45 FE | 14:00‑15:30 English | 16:00‑16:30 Review & notes
